"gene","av_p","positive_p","interaction_p","d_m_p.value","d_f_p.value","f_m_p.value","d_m_estimate","d_f_estimate","f_m_estimate","int_d_p.value","int_f_p.value","int_m_p.value","int_d_estimate","int_f_estimate","int_m_estimate","singular","warning","error","av_q","interaction_q","positive_q"
"map3k10",0.138469916257432,0.0780013270990397,0.125856845215339,0.915340636937817,0.574506647846907,0.541510428249054,0.00480190478157684,0.0223231912131451,0.027125095994722,0.342469514067145,0.371385830105777,0.0849543778537527,-0.0515752732112729,0.0446930216974488,0.112531329040147,FALSE,NA,NA,0.787164358248892,0.570657963252732,0.311294050094344
"calm3a",0.285420851545875,0.190450373954671,0.560076655380735,0.46946038717669,0.872625613649731,0.529136396613299,0.0349209700614904,-0.00672567733939339,0.028195292722097,0.829072045559869,0.950458405091622,0.196259357573523,0.0120513603240914,0.00254369990070927,0.0790062240326138,FALSE,NA,NA,0.802647882870223,0.904868080139733,0.487055931914132
"arhgap35a",0.121213675169077,0.0187455032203561,0.126909463267173,0.799397003013666,0.798765027705702,0.612590046546972,0.0116380355808166,0.00994610352240889,0.0215841391032255,0.688124862749612,0.294937919392662,0.0219340505794157,-0.0218247832043797,0.0404503018876858,0.139730485352559,FALSE,NA,NA,0.787164358248892,0.570657963252732,0.130919392171955
"fxyd6",0.870875894913495,0.0521237270189162,0.178463086633472,0.263639193286412,0.873625088691361,0.304483893181701,0.0483580772173785,-0.00579911959748207,0.0425589576198964,0.649117023412103,0.690154505944496,0.0565154398762253,-0.022023384471591,0.0141258006098066,-0.104951737975323,FALSE,NA,NA,0.941119382733678,0.641605865135803,0.249827312708337
"ppp2r1bb",0.154138885791821,0.00715178375607176,0.10987478195538,0.923095427897089,0.989670286413853,0.927536033573938,-0.00478159122663353,0.000537015642396124,-0.00424457558423741,0.816754148440749,0.508945029303868,0.0086660495516681,0.012965732539239,0.0291414613854714,0.179565137431494,FALSE,NA,NA,0.787164358248892,0.555830303415802,0.07422999048539
"sik2b",0.381685102164166,0.493823848811527,0.631726291876946,0.410890380302121,0.749748744599173,0.553280275969996,0.0393157407124815,-0.0125098252848761,0.0268059154276053,0.742079145274958,0.565359161083329,0.498047888671506,0.0175555352824609,-0.0216000474606382,0.044094197951256,FALSE,NA,NA,0.802647882870223,0.919574968109124,0.741865804907936
"grik4",0.40378582291146,0.642682242968816,0.503334559097467,0.299573996138289,0.564208298732275,0.544012902240638,0.053559498765725,-0.0255651501030932,0.0279943486626317,0.518178151373844,0.408754815123907,0.647616826088376,0.0404671461614349,-0.0352405278522642,0.030193351719422,FALSE,NA,NA,0.802647882870223,0.886180857106126,0.835127886612824
"limk1a",0.424912500198717,0.245247770167668,0.895868281071331,0.374295903995202,0.863592441949406,0.276515567859786,0.0408705528350907,0.0068374116728522,0.0477079645079429,0.412383762143349,0.0926237628197134,0.255554120771065,0.0467636205022245,0.0792267963966403,0.0749712008893404,FALSE,NA,NA,0.804011211765233,0.977495311441619,0.529830527258875
"LOC111584686",0.150599161614531,0.162821093813717,0.116663293609742,0.886426559570408,0.771875650705113,0.681856971936348,0.00698672502939722,0.0120586434275446,0.0190453684569418,0.11882305852584,0.549823778100897,0.171276710261716,-0.0782613739499973,-0.0219345218194652,0.0900533050701462,FALSE,NA,NA,0.787164358248892,0.555830303415802,0.456803624310707
"fam168a",0.937724209293839,0.00498972569626102,0.00990892437252344,0.0186577666054433,0.715185976024827,0.0300854394734532,0.111952304443579,-0.0129163261330238,0.0990359783105552,0.239310205401559,0.944607854204634,0.00621327181779016,0.0559161514202824,0.00245500479346986,-0.188624436458053,FALSE,NA,NA,0.975619561650404,0.246112593998495,0.0643101096458731
