"","gene","av_p.value","warning","singular","av_q.value","cluster"
"223","LOC118471246",0.543916503052842,NA,TRUE,"0.999999999964445",14
"224","lgr4",0.327080584857736,NA,TRUE,"0.999999999964445",14
"225","mybpc3",0.98606736179904,NA,TRUE,"0.999999999964445",14
"226","spi1b",0.999704382846983," Hessian is numerically singular: parameters are n",FALSE,"NA",14
"227","LOC129350404",0.999999999948162,NA,TRUE,"0.999999999964445",14
"228","LOC129349316",0.999999963018977,NA,TRUE,"0.999999999964445",14
"229","LOC118469808",0.933547445936205,NA,TRUE,"0.999999999964445",14
"230","slc39a13",0.932238438138166,NA,TRUE,"0.999999999964445",14
"231","tmem276b",0.783612845003902,NA,TRUE,"0.999999999964445",14
"232","slc17a6b",0.0658499729471408,NA,TRUE,"0.999999999964445",14
"233","ano5b",0.16644588602906,NA,TRUE,"0.999999999964445",14
"234","igdcc3",0.858645503635871,NA,FALSE,"0.999999999964445",14
"235","LOC129349470",0.415344425560938,NA,TRUE,"0.999999999964445",14
"236","eif3jb",0.650781207822511,NA,TRUE,"0.999999999964445",14
"237","strc1",0.325321210628504,NA,TRUE,"0.999999999964445",14
"238","ctdspl2b",0.840350357774966,NA,TRUE,"0.999999999964445",14
"239","golm2",0.559853964129365,NA,TRUE,"0.999999999964445",14
"240","fam189a1",0.760544310491097,NA,TRUE,"0.999999999964445",14
"241","tjp1a",0.771390370091454,NA,TRUE,"0.999999999964445",14
"242","terb2",0.981058021684176,NA,TRUE,"0.999999999964445",14
"243","sord",0.734644253687073,NA,TRUE,"0.999999999964445",14
"244","apba2b",0.446240863627334,NA,TRUE,"0.999999999964445",14
"245","syt7b",0.3375100682981,NA,TRUE,"0.999999999964445",14
"246","sdhaf2",0.104017658244448,NA,TRUE,"0.999999999964445",14
"247","LOC111574613",0.138885004048248,NA,TRUE,"0.999999999964445",14
"248","polr2l",0.679865611071239,NA,FALSE,"0.999999999964445",14
"249","dagla",0.0821633354519274,NA,FALSE,"0.999999999964445",14
"250","ext2",0.987990553779989,NA,TRUE,"0.999999999964445",14
"251","alx4a",0.929129074582563,NA,TRUE,"0.999999999964445",14
"252","LOC129350942",0.99999999989838,NA,TRUE,"0.999999999964445",14
"253","caprin1a",0.186810125212364,NA,TRUE,"0.999999999964445",14
"254","nucb2a",0.197501176747079,NA,TRUE,"0.999999999964445",14
"255","plekha7b",0.248411205800278,NA,FALSE,"0.999999999964445",14
"256","sox6",0.431891536723123,NA,TRUE,"0.999999999964445",14
"257","calca",0.986045983677117,"unable to evaluate scaled gradient",FALSE,"NA",14
"258","LOC129348556",0.985848671397515,NA,TRUE,"0.999999999964445",14
"259","LOC111563276",0.98674566570601,NA,TRUE,"0.999999999964445",14
"260","pde3b",0.222023995899202,NA,FALSE,"0.999999999964445",14
"261","copb1",0.643770286893907,NA,TRUE,"0.999999999964445",14
"262","rras2",0.601496831543623,NA,TRUE,"0.999999999964445",14
"263","tub",0.1543389522883,NA,TRUE,"0.999999999964445",14
"264","ric3a",0.985770608564292,NA,TRUE,"0.999999999964445",14
"265","LOC129348608",0.785200521113198,NA,FALSE,"0.999999999964445",14
"266","lmo1",0.386629813995735,NA,FALSE,"0.999999999964445",14
"267","stk33",0.0304485882020557,NA,FALSE,"0.999999999964445",14
"268","rerglb",0.933822363311441,NA,TRUE,"0.999999999964445",14
"269","trim66",0.485630543026722,NA,TRUE,"0.999999999964445",14
"270","LOC129348803",0.995030520625648,NA,TRUE,"0.999999999964445",14
"271","dennd2b",0.621156877638224,NA,FALSE,"0.999999999964445",14
"272","tmem9b",0.0120060466983187,NA,TRUE,"0.999999999964445",14
"273","sinhcafl",0.50517489700024,NA,TRUE,"0.999999999964445",14
"274","dennd5a",0.990724583172757,NA,TRUE,"0.999999999964445",14
"275","tmem41b",0.71228053682298,NA,TRUE,"0.999999999964445",14
"276","ipo7",0.57868691707835,NA,TRUE,"0.999999999964445",14
"277","swap70a",0.270057121185883,NA,TRUE,"0.999999999964445",14
"278","sbf2",0.561543505353133,NA,TRUE,"0.999999999964445",14
"279","mrvi1",0.690218594597443,NA,FALSE,"0.999999999964445",14
"280","ctr9",0.089680319664081,NA,FALSE,"0.999999999964445",14
"281","eif4g2a",0.236381467727694,NA,FALSE,"0.999999999964445",14
"282","LOC129348917",0.322867922766482,NA,TRUE,"0.999999999964445",14
"283","galnt18b",0.152658991392834,NA,FALSE,"0.999999999964445",14
"284","LOC111583341",0.601941458263008,NA,FALSE,"0.999999999964445",14
"285","btbd10b",0.943311084063286,NA,FALSE,"0.999999999964445",14
"286","bmal1b",0.999997866356431,"unable to evaluate scaled gradient",FALSE,"NA",14
"287","LOC129349665",0.355899220321131,NA,TRUE,"0.999999999964445",14
"288","rassf10b",0.999999997933524,NA,TRUE,"0.999999999964445",14
"289","tead1b",0.923623759488224,NA,FALSE,"0.999999999964445",14
"290","mical2a",0.999999999460211,"unable to evaluate scaled gradient",FALSE,"NA",14
"291","dkk3a",0.016382397754222,NA,TRUE,"0.999999999964445",14
"292","usp47",0.772739949023579,NA,TRUE,"0.999999999964445",14
"293","vat1l",0.361607104134508,NA,FALSE,"0.999999999964445",14
"294","bola3",0.236780548826804,NA,FALSE,"0.999999999964445",14
"295","nfat5b",0.498800040374008,NA,TRUE,"0.999999999964445",14
"296","kars1",0.276796188406567,NA,TRUE,"0.999999999964445",14
"297","gcshb",0,"Model failed to converge with max|grad| = 0.014897",FALSE,"NA",14
"298","rpl13",0.0250003282447689,NA,TRUE,"0.999999999964445",14
"299","cpne7",0.888557893992049,NA,FALSE,"0.999999999964445",14
"300","zgc:162592",0.721670299157713,NA,TRUE,"0.999999999964445",14
"301","LOC111582316",0.48142210830276,NA,TRUE,"0.999999999964445",14
"302","dhx38",0.642708485365429,NA,TRUE,"0.999999999964445",14
"303","LOC118471558",0.99999999199408,"unable to evaluate scaled gradient",FALSE,"NA",14
"304","LOC118471559",0.469952772914936,NA,TRUE,"0.999999999964445",14
"305","LOC129349115",0.935206135626348,NA,TRUE,"0.999999999964445",14
"306","zfhx3b",0.0213417968257373,NA,FALSE,"0.999999999964445",14
"307","hnf4b",0.935101473195073,NA,TRUE,"0.999999999964445",14
"308","crispld2",0.976857158670731,NA,TRUE,"0.999999999964445",14
"309","usp10",0.743920106318349,NA,TRUE,"0.999999999964445",14
"310","phlpp2",0.881905034546915,NA,TRUE,"0.999999999964445",14
"311","ap1g1",0.59387787340819,NA,FALSE,"0.999999999964445",14
"312","znf821",0.549240969200052,NA,TRUE,"0.999999999964445",14
"313","LOC129348575",0.878306683648599,NA,FALSE,"0.999999999964445",14
"314","atxn1l",0.922481893624411,NA,TRUE,"0.999999999964445",14
"315","LOC111577580",0.936608372320728,NA,TRUE,"0.999999999964445",14
"316","mtmr10",0.998287599430822,"unable to evaluate scaled gradient",FALSE,"NA",14
"317","myo1ea",0.452074948318239,NA,FALSE,"0.999999999964445",14
"318","rnf111",0.927333057087958,NA,TRUE,"0.999999999964445",14
"319","sltm",0.271511095454347,NA,TRUE,"0.999999999964445",14
"320","mindy2",0.226508169425024,NA,TRUE,"0.999999999964445",14
"321","adam10a",0.547597574011278,NA,TRUE,"0.999999999964445",14
"322","lipca",0.988686276279837,"unable to evaluate scaled gradient",FALSE,"NA",14
"323","aqp9b",0.996211722641001,"unable to evaluate scaled gradient",FALSE,"NA",14
"324","aldh1a2",0.985654567290731,NA,TRUE,"0.999999999964445",14
"325","LOC129348974",0.929392960846159,NA,FALSE,"0.999999999964445",14
