Barcode,Anatomical
cellid_000000755-1,Dm-3
cellid_000000756-1,Vd-r
cellid_000000757-1,Vd-r
cellid_000000758-1,Vd-r
cellid_000000759-1,Vd-r
cellid_000000760-1,Dm-3
cellid_000000761-1,Vd-r
cellid_000000762-1,Dm-3
cellid_000000763-1,Dm-3
cellid_000000764-1,Dm-3
cellid_000000765-1,Dm-3
cellid_000000766-1,Vd-r
cellid_000000767-1,Dm-3
cellid_000000768-1,Vd-r
cellid_000000769-1,Dm-3
cellid_000000770-1,Vd-r
cellid_000000771-1,Dm-3
cellid_000000772-1,Dm-3
cellid_000000773-1,Dm-3
cellid_000000774-1,Dm-3
cellid_000000775-1,Dm-3
cellid_000000776-1,Dm-3
cellid_000000777-1,Dm-3
cellid_000000778-1,Dm-3
cellid_000000779-1,Vd-r
cellid_000000780-1,Dm-3
cellid_000000781-1,Dm-3
cellid_000000782-1,Vd-r
cellid_000000783-1,Dm-3
cellid_000000784-1,Dm-3
cellid_000000785-1,Dm-3
cellid_000000786-1,Dm-3
cellid_000000787-1,Dm-3
cellid_000000788-1,Dm-3
cellid_000000789-1,Dm-3
cellid_000000790-1,Dm-3
cellid_000000791-1,Dm-3
cellid_000000792-1,Dm-3
cellid_000000793-1,Dm-3
cellid_000000794-1,Dm-3
cellid_000000795-1,Dm-3
cellid_000000796-1,Dm-3
cellid_000000797-1,Vd-r
cellid_000000799-1,Dm-3
cellid_000000800-1,Dm-3
cellid_000000801-1,Vd-r
cellid_000000802-1,Dm-3
cellid_000000803-1,Dm-3
cellid_000000804-1,Dm-3
cellid_000000806-1,Dm-3
cellid_000000807-1,Vd-r
cellid_000000808-1,Dm-3
cellid_000000810-1,Dm-3
cellid_000000811-1,Vd-r
cellid_000000813-1,Dm-3
cellid_000000814-1,Dm-3
cellid_000000815-1,Vd-r
cellid_000000817-1,Vd-r
cellid_000000818-1,Dm-3
cellid_000000819-1,Dm-3
cellid_000000820-1,Dm-3
cellid_000000821-1,Dm-3
cellid_000000822-1,Dm-3
cellid_000000823-1,Dm-3
cellid_000000825-1,Dm-3
cellid_000000826-1,Dm-3
cellid_000000827-1,Dm-3
cellid_000000828-1,Dm-3
cellid_000000829-1,Vd-r
cellid_000000830-1,Vd-r
cellid_000000831-1,Vd-r
cellid_000000832-1,Vd-r
cellid_000000833-1,Dm-3
cellid_000000834-1,Dm-3
cellid_000000835-1,Dm-3
cellid_000000836-1,Dm-3
cellid_000000837-1,Vd-r
cellid_000000839-1,Dm-3
cellid_000000840-1,Dm-3
cellid_000000841-1,Vd-r
cellid_000000842-1,Vd-r
cellid_000000843-1,Vd-r
cellid_000000844-1,Vd-r
cellid_000000845-1,Dm-3
cellid_000000846-1,Dm-3
cellid_000000847-1,Dm-3
cellid_000000848-1,Dm-3
cellid_000000849-1,Dm-3
cellid_000000851-1,Dm-3
cellid_000000852-1,Dm-3
cellid_000000853-1,Dm-3
