Barcode,Dissection
cellid_000114193-1,poa dissection
cellid_000114199-1,poa dissection
cellid_000114201-1,poa dissection
cellid_000114205-1,poa dissection
cellid_000114206-1,poa dissection
cellid_000114208-1,poa dissection
cellid_000114214-1,poa dissection
cellid_000114219-1,poa dissection
cellid_000114221-1,poa dissection
cellid_000114223-1,poa dissection
cellid_000114224-1,poa dissection
cellid_000114230-1,poa dissection
cellid_000114234-1,poa dissection
cellid_000114236-1,poa dissection
cellid_000114239-1,poa dissection
cellid_000114240-1,poa dissection
cellid_000114241-1,poa dissection
cellid_000114242-1,poa dissection
cellid_000114243-1,poa dissection
cellid_000114245-1,poa dissection
cellid_000114246-1,poa dissection
cellid_000114247-1,poa dissection
cellid_000114248-1,poa dissection
cellid_000114250-1,poa dissection
cellid_000114251-1,poa dissection
cellid_000114252-1,poa dissection
cellid_000114253-1,poa dissection
cellid_000114254-1,poa dissection
cellid_000114255-1,poa dissection
cellid_000114256-1,poa dissection
cellid_000114257-1,poa dissection
cellid_000114258-1,poa dissection
cellid_000114260-1,poa dissection
cellid_000114261-1,poa dissection
cellid_000114262-1,poa dissection
cellid_000114263-1,poa dissection
cellid_000114264-1,poa dissection
cellid_000114265-1,poa dissection
cellid_000114266-1,poa dissection
cellid_000114267-1,poa dissection
cellid_000114268-1,poa dissection
cellid_000114269-1,poa dissection
cellid_000114270-1,poa dissection
cellid_000114271-1,poa dissection
cellid_000114272-1,poa dissection
cellid_000114273-1,poa dissection
cellid_000114274-1,poa dissection
cellid_000114275-1,poa dissection
cellid_000114276-1,poa dissection
cellid_000114277-1,poa dissection
cellid_000114278-1,poa dissection
cellid_000114280-1,poa dissection
cellid_000114281-1,poa dissection
cellid_000114282-1,poa dissection
cellid_000114283-1,poa dissection
cellid_000114284-1,poa dissection
cellid_000114285-1,poa dissection
cellid_000114286-1,poa dissection
cellid_000114287-1,poa dissection
cellid_000114288-1,poa dissection
cellid_000114289-1,poa dissection
cellid_000114290-1,poa dissection
cellid_000114291-1,poa dissection
cellid_000114292-1,poa dissection
cellid_000114293-1,poa dissection
cellid_000114294-1,poa dissection
