gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	6_0	6_1	6_2	6_3
UNC5B	Q8IZJ1	False	UNC5B_HUMAN		CPI-SS00C9DE87A	UNC5B	0.137	0.0	0.0	0.235
UNC5B	Q8IZJ1	False	UNC5B_HUMAN		CPI-SS0C72D53A2	UNC5B	0.137	0.0	0.0	0.235
UNC5C	O95185	False	UNC5C_HUMAN		CPI-SS07660BCA2	UNC5C	1.241	0.823	0.897	2.326
UNC5D	Q6UXZ4	False	UNC5D_HUMAN		CPI-SS0BA4E3F44	UNC5D	1.114	0.783	1.724	0.702
DAG1	Q14118	False	DAG1_HUMAN		CPI-SS085E14488	DAG1	0.421	0.881	0.513	0.289
DAG1	Q14118	False	DAG1_HUMAN		CPI-SS0193D81E1	DAG1	0.421	0.881	0.513	0.289
NPBWR2	P48146	False	NPBW2_HUMAN		CPI-SS06EFFDDF4	NPBWR2	0.777	0.647	0.456	0.0
NTRK3	Q16288	False	NTRK3_HUMAN		CPI-SS05162C56B	NTRK3	3.349	2.489	2.356	1.774
NTRK3	Q16288	False	NTRK3_HUMAN		CPI-SS01D36DDFA	NTRK3	3.349	2.489	2.356	1.774
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS029811409	NOTCH2	0.056	0.0	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS0E1A8414D	NOTCH2	0.056	0.0	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS08E4D6FA9	NOTCH2	0.056	0.0	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS060B82BBC	NOTCH2	0.056	0.0	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.227	0.0	0.231	0.0
NRCAM	Q92823	False	NRCAM_HUMAN		CPI-SS0BDC912F3	NRCAM	1.138	1.488	1.504	0.606
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0D37C7C70	NOTCH4	0.378	0.268	0.926	0.856
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0558101D1	NOTCH4	0.378	0.268	0.926	0.856
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0837E9F59	NOTCH4	0.378	0.268	0.926	0.856
VASN	Q6EMK4	False	VASN_HUMAN		CPI-SS0EDD8CDD4	VASN	0.0	0.0	0.249	0.0
OPRD1	P41143	False	OPRD_HUMAN		CPI-SS0CD40D735	OPRD1	0.551	0.935	0.655	0.0
OPRD1	P41143	False	OPRD_HUMAN		CPI-SS0BD6EE954	OPRD1	0.551	0.935	0.655	0.0
OPRD1	P41143	False	OPRD_HUMAN		CPI-CS005209739	OPRD1	0.551	0.935	0.655	0.0
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0AFFDEC0B	OPRK1	0.029	0.087	0.137	0.0
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0D1EF9598	OPRK1	0.029	0.087	0.137	0.0
OPRK1	P41145	False	OPRK_HUMAN		CPI-CS040CDD259	OPRK1	0.029	0.087	0.137	0.0
